admin2,indicator,choice,value,context
tapoa,critical_handwashing_times,apres_netto,0.0690085730251702,bfa_2020
tuy,critical_handwashing_times,apres_netto,0,bfa_2020
yagha,critical_handwashing_times,apres_netto,0.27868377766299324,bfa_2020
yatenga,critical_handwashing_times,apres_netto,0.09560886679338333,bfa_2020
ziro,critical_handwashing_times,apres_netto,0.03276753597445128,bfa_2020
zondoma,critical_handwashing_times,apres_netto,0.05579355306583526,bfa_2020
zoundweogo,critical_handwashing_times,apres_netto,0.01919228823569875,bfa_2020
bale,critical_handwashing_times,avant_prepare,0.2991068903227447,bfa_2020
bam,critical_handwashing_times,avant_prepare,0.3631221277773189,bfa_2020
banwa,critical_handwashing_times,avant_prepare,0.22924936258148623,bfa_2020
bazega,critical_handwashing_times,avant_prepare,0.21348488894402945,bfa_2020
bougouriba,critical_handwashing_times,avant_prepare,0.13919475208294163,bfa_2020
boulgou,critical_handwashing_times,avant_prepare,0.43072360253811226,bfa_2020
boulkiemde,critical_handwashing_times,avant_prepare,0.20632854875664275,bfa_2020
comoe,critical_handwashing_times,avant_prepare,0.24457101993519295,bfa_2020
ganzourgou,critical_handwashing_times,avant_prepare,0.41463149316291553,bfa_2020
gnagna,critical_handwashing_times,avant_prepare,0.44460870097125493,bfa_2020
gourma,critical_handwashing_times,avant_prepare,0.45808279392536294,bfa_2020
houet,critical_handwashing_times,avant_prepare,0.368435707108816,bfa_2020
ioba,critical_handwashing_times,avant_prepare,0.19570872393295108,bfa_2020
kadiogo,critical_handwashing_times,avant_prepare,0.512017135408987,bfa_2020
kenedougou,critical_handwashing_times,avant_prepare,0.2247230387730937,bfa_2020
komonjdjari,critical_handwashing_times,avant_prepare,0.43124644115762084,bfa_2020
kompienga,critical_handwashing_times,avant_prepare,0.27478504528686865,bfa_2020
kossi,critical_handwashing_times,avant_prepare,0.18031145580628344,bfa_2020
koulpelogo,critical_handwashing_times,avant_prepare,0.29391102293567267,bfa_2020
kouritenga,critical_handwashing_times,avant_prepare,0.404049393765455,bfa_2020
kourweogo,critical_handwashing_times,avant_prepare,0.3679972497917624,bfa_2020
leraba,critical_handwashing_times,avant_prepare,0.25,bfa_2020
loroum,critical_handwashing_times,avant_prepare,0.5371433040706112,bfa_2020
mouhoun,critical_handwashing_times,avant_prepare,0.21048734580111256,bfa_2020
nahouri,critical_handwashing_times,avant_prepare,0.3527378108314538,bfa_2020
namentenga,critical_handwashing_times,avant_prepare,0.3462657540001616,bfa_2020
nayala,critical_handwashing_times,avant_prepare,0.25603762976180316,bfa_2020
oubritenga,critical_handwashing_times,avant_prepare,0.36040776480630093,bfa_2020
oudalan,critical_handwashing_times,avant_prepare,0.09469182189674677,bfa_2020
passore,critical_handwashing_times,avant_prepare,0.20233029373162903,bfa_2020
poni,critical_handwashing_times,avant_prepare,0.17690500704603643,bfa_2020
sanguie,critical_handwashing_times,avant_prepare,0.10220171717658441,bfa_2020
sanmatenga,critical_handwashing_times,avant_prepare,0.36096104219272024,bfa_2020
seno,critical_handwashing_times,avant_prepare,0.09751473277605623,bfa_2020
sissili,critical_handwashing_times,avant_prepare,0.25,bfa_2020
soum,critical_handwashing_times,avant_prepare,0.150331257007692,bfa_2020
sourou,critical_handwashing_times,avant_prepare,0.1735159404433948,bfa_2020
tapoa,critical_handwashing_times,avant_prepare,0.35795855280220856,bfa_2020
tuy,critical_handwashing_times,avant_prepare,0.060255886484346925,bfa_2020
yagha,critical_handwashing_times,avant_prepare,0.4230340652900749,bfa_2020
yatenga,critical_handwashing_times,avant_prepare,0.36691763028815155,bfa_2020
ziro,critical_handwashing_times,avant_prepare,0.12346841277836088,bfa_2020
zondoma,critical_handwashing_times,avant_prepare,0.37874946715602,bfa_2020
zoundweogo,critical_handwashing_times,avant_prepare,0.3080651490018625,bfa_2020
bale,critical_handwashing_times,avant_manger,0.991151991775605,bfa_2020
bam,critical_handwashing_times,avant_manger,0.9570752144205807,bfa_2020
banwa,critical_handwashing_times,avant_manger,0.9864430632918493,bfa_2020
bazega,critical_handwashing_times,avant_manger,0.9908307283683859,bfa_2020
bougouriba,critical_handwashing_times,avant_manger,1,bfa_2020
boulgou,critical_handwashing_times,avant_manger,0.9681951598463714,bfa_2020
boulkiemde,critical_handwashing_times,avant_manger,0.9638707613779387,bfa_2020
comoe,critical_handwashing_times,avant_manger,0.954159495185618,bfa_2020
ganzourgou,critical_handwashing_times,avant_manger,0.9897180700094577,bfa_2020
gnagna,critical_handwashing_times,avant_manger,0.9292497455971656,bfa_2020
gourma,critical_handwashing_times,avant_manger,0.9472723320968998,bfa_2020
houet,critical_handwashing_times,avant_manger,0.9849627184963916,bfa_2020
ioba,critical_handwashing_times,avant_manger,0.9895730690333219,bfa_2020
kadiogo,critical_handwashing_times,avant_manger,1.0000000000000002,bfa_2020
kenedougou,critical_handwashing_times,avant_manger,0.9508697351411048,bfa_2020
komonjdjari,critical_handwashing_times,avant_manger,0.934311593392047,bfa_2020
kompienga,critical_handwashing_times,avant_manger,0.9619549362826155,bfa_2020
kossi,critical_handwashing_times,avant_manger,0.9973269067198837,bfa_2020
koulpelogo,critical_handwashing_times,avant_manger,0.8426070401311838,bfa_2020
kouritenga,critical_handwashing_times,avant_manger,0.998227809212413,bfa_2020
kourweogo,critical_handwashing_times,avant_manger,0.9348011633194052,bfa_2020
leraba,critical_handwashing_times,avant_manger,1,bfa_2020
loroum,critical_handwashing_times,avant_manger,0.9773884566752706,bfa_2020
mouhoun,critical_handwashing_times,avant_manger,0.9851353949881145,bfa_2020
nahouri,critical_handwashing_times,avant_manger,0.9683883658980142,bfa_2020
namentenga,critical_handwashing_times,avant_manger,0.9038326002795011,bfa_2020
nayala,critical_handwashing_times,avant_manger,1,bfa_2020
oubritenga,critical_handwashing_times,avant_manger,0.9708498845731685,bfa_2020
oudalan,critical_handwashing_times,avant_manger,0.992835830823805,bfa_2020
passore,critical_handwashing_times,avant_manger,0.9555519945284192,bfa_2020
poni,critical_handwashing_times,avant_manger,1,bfa_2020
sanguie,critical_handwashing_times,avant_manger,0.9753092691815055,bfa_2020
sanmatenga,critical_handwashing_times,avant_manger,0.9475434006519647,bfa_2020
seno,critical_handwashing_times,avant_manger,0.9808864654250373,bfa_2020
sissili,critical_handwashing_times,avant_manger,1,bfa_2020
soum,critical_handwashing_times,avant_manger,0.975355744574154,bfa_2020
sourou,critical_handwashing_times,avant_manger,0.9821919864811257,bfa_2020
tapoa,critical_handwashing_times,avant_manger,0.9937859993425475,bfa_2020
tuy,critical_handwashing_times,avant_manger,0.9989603563447572,bfa_2020
yagha,critical_handwashing_times,avant_manger,1,bfa_2020
yatenga,critical_handwashing_times,avant_manger,0.9633462721450894,bfa_2020
ziro,critical_handwashing_times,avant_manger,1,bfa_2020
zondoma,critical_handwashing_times,avant_manger,0.9944582171433755,bfa_2020
zoundweogo,critical_handwashing_times,avant_manger,1,bfa_2020
bale,critical_handwashing_times,apres_toilette,0.5568123306844025,bfa_2020
bam,critical_handwashing_times,apres_toilette,0.6387998833445119,bfa_2020
banwa,critical_handwashing_times,apres_toilette,0.5669096110744519,bfa_2020
bazega,critical_handwashing_times,apres_toilette,0.39891623234108076,bfa_2020
bougouriba,critical_handwashing_times,apres_toilette,0.5833333333333334,bfa_2020
boulgou,critical_handwashing_times,apres_toilette,0.4137936940460275,bfa_2020
boulkiemde,critical_handwashing_times,apres_toilette,0.49292974366731046,bfa_2020
comoe,critical_handwashing_times,apres_toilette,0.6575022038098531,bfa_2020
ganzourgou,critical_handwashing_times,apres_toilette,0.45468503366461466,bfa_2020
gnagna,critical_handwashing_times,apres_toilette,0.5932230712154655,bfa_2020
gourma,critical_handwashing_times,apres_toilette,0.6864197874159605,bfa_2020
houet,critical_handwashing_times,apres_toilette,0.6894296387388924,bfa_2020
ioba,critical_handwashing_times,apres_toilette,0.27967005668119543,bfa_2020
kadiogo,critical_handwashing_times,apres_toilette,0.8330238898999599,bfa_2020
kenedougou,critical_handwashing_times,apres_toilette,0.7637221070744136,bfa_2020
komonjdjari,critical_handwashing_times,apres_toilette,0.5920053138906349,bfa_2020
kompienga,critical_handwashing_times,apres_toilette,0.6011967822605718,bfa_2020
kossi,critical_handwashing_times,apres_toilette,0.3963635981189262,bfa_2020
koulpelogo,critical_handwashing_times,apres_toilette,0.32066473393178097,bfa_2020
kouritenga,critical_handwashing_times,apres_toilette,0.4224555958157057,bfa_2020
kourweogo,critical_handwashing_times,apres_toilette,0.36727097425928273,bfa_2020
leraba,critical_handwashing_times,apres_toilette,0.625,bfa_2020
loroum,critical_handwashing_times,apres_toilette,0.6415772347993236,bfa_2020
mouhoun,critical_handwashing_times,apres_toilette,0.5191540691398558,bfa_2020
nahouri,critical_handwashing_times,apres_toilette,0.5840389209645747,bfa_2020
namentenga,critical_handwashing_times,apres_toilette,0.5875470211642663,bfa_2020
nayala,critical_handwashing_times,apres_toilette,0.44681310023809007,bfa_2020
oubritenga,critical_handwashing_times,apres_toilette,0.6310201957562896,bfa_2020
oudalan,critical_handwashing_times,apres_toilette,0.6759544014029009,bfa_2020
passore,critical_handwashing_times,apres_toilette,0.34290406846081894,bfa_2020
poni,critical_handwashing_times,apres_toilette,0.5716759274823345,bfa_2020
sanguie,critical_handwashing_times,apres_toilette,0.389915728918995,bfa_2020
sanmatenga,critical_handwashing_times,apres_toilette,0.6979018101684134,bfa_2020
seno,critical_handwashing_times,apres_toilette,0.5178476001750629,bfa_2020
sissili,critical_handwashing_times,apres_toilette,0.40723237501432635,bfa_2020
soum,critical_handwashing_times,apres_toilette,0.6718872773312716,bfa_2020
sourou,critical_handwashing_times,apres_toilette,0.46254902993177,bfa_2020
tapoa,critical_handwashing_times,apres_toilette,0.4838883933664365,bfa_2020
tuy,critical_handwashing_times,apres_toilette,0.5607757083119684,bfa_2020
yagha,critical_handwashing_times,apres_toilette,0.6669262991491646,bfa_2020
yatenga,critical_handwashing_times,apres_toilette,0.5695193134255364,bfa_2020
ziro,critical_handwashing_times,apres_toilette,0.4546495615980452,bfa_2020
zondoma,critical_handwashing_times,apres_toilette,0.5161646818094454,bfa_2020
zoundweogo,critical_handwashing_times,apres_toilette,0.42838630674760286,bfa_2020
bale,critical_handwashing_times,aucun,0,bfa_2020
bam,critical_handwashing_times,aucun,0,bfa_2020
banwa,critical_handwashing_times,aucun,0,bfa_2020
bazega,critical_handwashing_times,aucun,0,bfa_2020
bougouriba,critical_handwashing_times,aucun,0,bfa_2020
boulgou,critical_handwashing_times,aucun,0,bfa_2020
