admin2,indicator,choice,value,context,phase
kadiogo,critical_handwashing_times,avant_sein,0.09788480415183094,bfa_2020,NA
kenedougou,critical_handwashing_times,avant_sein,0.10012928871036376,bfa_2020,NA
komonjdjari,critical_handwashing_times,avant_sein,0.08049590058865884,bfa_2020,NA
kompienga,critical_handwashing_times,avant_sein,0.06036900557817001,bfa_2020,NA
kossi,critical_handwashing_times,avant_sein,0.006073543424012818,bfa_2020,NA
koulpelogo,critical_handwashing_times,avant_sein,0.003806866978377169,bfa_2020,NA
kouritenga,critical_handwashing_times,avant_sein,0.03671005262050854,bfa_2020,NA
kourweogo,critical_handwashing_times,avant_sein,0.07714010241912159,bfa_2020,NA
leraba,critical_handwashing_times,avant_sein,0,bfa_2020,NA
loroum,critical_handwashing_times,avant_sein,0.1463378291166849,bfa_2020,NA
mouhoun,critical_handwashing_times,avant_sein,0.014864605011885405,bfa_2020,NA
nahouri,critical_handwashing_times,avant_sein,0.09984473801556756,bfa_2020,NA
namentenga,critical_handwashing_times,avant_sein,0.06785342669037277,bfa_2020,NA
nayala,critical_handwashing_times,avant_sein,0.048890851739016396,bfa_2020,NA
oubritenga,critical_handwashing_times,avant_sein,0.06274185165521717,bfa_2020,NA
oudalan,critical_handwashing_times,avant_sein,0.02783610420464257,bfa_2020,NA
passore,critical_handwashing_times,avant_sein,0.004724015259596833,bfa_2020,NA
poni,critical_handwashing_times,avant_sein,0.02788525655449649,bfa_2020,NA
sanguie,critical_handwashing_times,avant_sein,0,bfa_2020,NA
sanmatenga,critical_handwashing_times,avant_sein,0.1170588972971375,bfa_2020,NA
seno,critical_handwashing_times,avant_sein,0.04442053680118738,bfa_2020,NA
sissili,critical_handwashing_times,avant_sein,0.15723237501432635,bfa_2020,NA
soum,critical_handwashing_times,avant_sein,0.020171694450108725,bfa_2020,NA
sourou,critical_handwashing_times,avant_sein,0.012269153302942842,bfa_2020,NA
tapoa,critical_handwashing_times,avant_sein,0.08363369292513463,bfa_2020,NA
tuy,critical_handwashing_times,avant_sein,0.001039643655242881,bfa_2020,NA
yagha,critical_handwashing_times,avant_sein,0.31662028640821277,bfa_2020,NA
yatenga,critical_handwashing_times,avant_sein,0.058289263264239444,bfa_2020,NA
ziro,critical_handwashing_times,avant_sein,0,bfa_2020,NA
zondoma,critical_handwashing_times,avant_sein,0.03362642163933685,bfa_2020,NA
zoundweogo,critical_handwashing_times,avant_sein,0.028788432353548124,bfa_2020,NA
bale,critical_handwashing_times,apres_netto,0.027728275430521924,bfa_2020,NA
bam,critical_handwashing_times,apres_netto,0.11097126178471595,bfa_2020,NA
banwa,critical_handwashing_times,apres_netto,0.04749342253610546,bfa_2020,NA
bazega,critical_handwashing_times,apres_netto,0,bfa_2020,NA
bougouriba,critical_handwashing_times,apres_netto,0,bfa_2020,NA
boulgou,critical_handwashing_times,apres_netto,0.09568957623227435,bfa_2020,NA
boulkiemde,critical_handwashing_times,apres_netto,0.018556397855656524,bfa_2020,NA
comoe,critical_handwashing_times,apres_netto,0.015345677660698302,bfa_2020,NA
ganzourgou,critical_handwashing_times,apres_netto,0.02219206967755368,bfa_2020,NA
gnagna,critical_handwashing_times,apres_netto,0.19766305285294847,bfa_2020,NA
gourma,critical_handwashing_times,apres_netto,0.16342038799969053,bfa_2020,NA
houet,critical_handwashing_times,apres_netto,0.09432649492503119,bfa_2020,NA
ioba,critical_handwashing_times,apres_netto,0.029171379453432178,bfa_2020,NA
kadiogo,critical_handwashing_times,apres_netto,0.06422313884225574,bfa_2020,NA
kenedougou,critical_handwashing_times,apres_netto,0.07808723098236332,bfa_2020,NA
komonjdjari,critical_handwashing_times,apres_netto,0.0941320803713396,bfa_2020,NA
kompienga,critical_handwashing_times,apres_netto,0.04105954757125721,bfa_2020,NA
kossi,critical_handwashing_times,apres_netto,0.03597063245062376,bfa_2020,NA
koulpelogo,critical_handwashing_times,apres_netto,0.15453780963503336,bfa_2020,NA
kouritenga,critical_handwashing_times,apres_netto,0.02947215257423841,bfa_2020,NA
kourweogo,critical_handwashing_times,apres_netto,0.07714010241912159,bfa_2020,NA
leraba,critical_handwashing_times,apres_netto,0,bfa_2020,NA
loroum,critical_handwashing_times,apres_netto,0.35085919750130706,bfa_2020,NA
mouhoun,critical_handwashing_times,apres_netto,0.05093849217082254,bfa_2020,NA
nahouri,critical_handwashing_times,apres_netto,0.09984473801556756,bfa_2020,NA
namentenga,critical_handwashing_times,apres_netto,0.03282184725641106,bfa_2020,NA
nayala,critical_handwashing_times,apres_netto,0.01945975359428745,bfa_2020,NA
oubritenga,critical_handwashing_times,apres_netto,7.690520934898758e-4,bfa_2020,NA
oudalan,critical_handwashing_times,apres_netto,0.035917589382621004,bfa_2020,NA
passore,critical_handwashing_times,apres_netto,0.023307312992415462,bfa_2020,NA
poni,critical_handwashing_times,apres_netto,0,bfa_2020,NA
sanguie,critical_handwashing_times,apres_netto,0,bfa_2020,NA
sanmatenga,critical_handwashing_times,apres_netto,0.08170159630392135,bfa_2020,NA
seno,critical_handwashing_times,apres_netto,0.032084087682043544,bfa_2020,NA
sissili,critical_handwashing_times,apres_netto,0.15723237501432635,bfa_2020,NA
soum,critical_handwashing_times,apres_netto,0.055179217480216085,bfa_2020,NA
sourou,critical_handwashing_times,apres_netto,0.03453165965136478,bfa_2020,NA
tapoa,critical_handwashing_times,apres_netto,0.0690085730251702,bfa_2020,NA
tuy,critical_handwashing_times,apres_netto,0,bfa_2020,NA
yagha,critical_handwashing_times,apres_netto,0.27868377766299324,bfa_2020,NA
yatenga,critical_handwashing_times,apres_netto,0.09560886679338333,bfa_2020,NA
ziro,critical_handwashing_times,apres_netto,0.03276753597445128,bfa_2020,NA
zondoma,critical_handwashing_times,apres_netto,0.05579355306583526,bfa_2020,NA
zoundweogo,critical_handwashing_times,apres_netto,0.01919228823569875,bfa_2020,NA
bale,critical_handwashing_times,avant_prepare,0.2991068903227447,bfa_2020,NA
bam,critical_handwashing_times,avant_prepare,0.3631221277773189,bfa_2020,NA
banwa,critical_handwashing_times,avant_prepare,0.22924936258148623,bfa_2020,NA
bazega,critical_handwashing_times,avant_prepare,0.21348488894402945,bfa_2020,NA
bougouriba,critical_handwashing_times,avant_prepare,0.13919475208294163,bfa_2020,NA
boulgou,critical_handwashing_times,avant_prepare,0.43072360253811226,bfa_2020,NA
boulkiemde,critical_handwashing_times,avant_prepare,0.20632854875664275,bfa_2020,NA
comoe,critical_handwashing_times,avant_prepare,0.24457101993519295,bfa_2020,NA
ganzourgou,critical_handwashing_times,avant_prepare,0.41463149316291553,bfa_2020,NA
gnagna,critical_handwashing_times,avant_prepare,0.44460870097125493,bfa_2020,NA
gourma,critical_handwashing_times,avant_prepare,0.45808279392536294,bfa_2020,NA
houet,critical_handwashing_times,avant_prepare,0.368435707108816,bfa_2020,NA
ioba,critical_handwashing_times,avant_prepare,0.19570872393295108,bfa_2020,NA
kadiogo,critical_handwashing_times,avant_prepare,0.512017135408987,bfa_2020,NA
kenedougou,critical_handwashing_times,avant_prepare,0.2247230387730937,bfa_2020,NA
komonjdjari,critical_handwashing_times,avant_prepare,0.43124644115762084,bfa_2020,NA
kompienga,critical_handwashing_times,avant_prepare,0.27478504528686865,bfa_2020,NA
kossi,critical_handwashing_times,avant_prepare,0.18031145580628344,bfa_2020,NA
koulpelogo,critical_handwashing_times,avant_prepare,0.29391102293567267,bfa_2020,NA
kouritenga,critical_handwashing_times,avant_prepare,0.404049393765455,bfa_2020,NA
kourweogo,critical_handwashing_times,avant_prepare,0.3679972497917624,bfa_2020,NA
leraba,critical_handwashing_times,avant_prepare,0.25,bfa_2020,NA
loroum,critical_handwashing_times,avant_prepare,0.5371433040706112,bfa_2020,NA
mouhoun,critical_handwashing_times,avant_prepare,0.21048734580111256,bfa_2020,NA
nahouri,critical_handwashing_times,avant_prepare,0.3527378108314538,bfa_2020,NA
namentenga,critical_handwashing_times,avant_prepare,0.3462657540001616,bfa_2020,NA
nayala,critical_handwashing_times,avant_prepare,0.25603762976180316,bfa_2020,NA
oubritenga,critical_handwashing_times,avant_prepare,0.36040776480630093,bfa_2020,NA
oudalan,critical_handwashing_times,avant_prepare,0.09469182189674677,bfa_2020,NA
passore,critical_handwashing_times,avant_prepare,0.20233029373162903,bfa_2020,NA
poni,critical_handwashing_times,avant_prepare,0.17690500704603643,bfa_2020,NA
sanguie,critical_handwashing_times,avant_prepare,0.10220171717658441,bfa_2020,NA
sanmatenga,critical_handwashing_times,avant_prepare,0.36096104219272024,bfa_2020,NA
seno,critical_handwashing_times,avant_prepare,0.09751473277605623,bfa_2020,NA
sissili,critical_handwashing_times,avant_prepare,0.25,bfa_2020,NA
soum,critical_handwashing_times,avant_prepare,0.150331257007692,bfa_2020,NA
sourou,critical_handwashing_times,avant_prepare,0.1735159404433948,bfa_2020,NA
tapoa,critical_handwashing_times,avant_prepare,0.35795855280220856,bfa_2020,NA
tuy,critical_handwashing_times,avant_prepare,0.060255886484346925,bfa_2020,NA
yagha,critical_handwashing_times,avant_prepare,0.4230340652900749,bfa_2020,NA
yatenga,critical_handwashing_times,avant_prepare,0.36691763028815155,bfa_2020,NA
ziro,critical_handwashing_times,avant_prepare,0.12346841277836088,bfa_2020,NA
zondoma,critical_handwashing_times,avant_prepare,0.37874946715602,bfa_2020,NA
zoundweogo,critical_handwashing_times,avant_prepare,0.3080651490018625,bfa_2020,NA
bale,critical_handwashing_times,avant_manger,0.991151991775605,bfa_2020,NA
bam,critical_handwashing_times,avant_manger,0.9570752144205807,bfa_2020,NA
banwa,critical_handwashing_times,avant_manger,0.9864430632918493,bfa_2020,NA
