admin2,semaine,nb_cases_cholera,nb_cases_awd,nb_death_awd,nb_cases_meningitis,nb_cases_malaria,nb_cases_dengues,femme_local,homme_local,total_local,total,total_pdi,weights_adm2,nb_cases_cholera_twoWeeks_mean,nb_cases_awd_twoWeeks_mean,nb_death_awd_twoWeeks_mean,nb_cases_meningitis_twoWeeks_mean,nb_cases_malaria_twoWeeks_mean,nb_cases_dengues_twoWeeks_mean,nb_cases_cholera_per100k,nb_cases_awd_per100k,nb_death_awd_per100k,nb_cases_meningitis_per100k,nb_cases_malaria_per100k,nb_cases_dengues_per100k,nb_cases_cholera_twoWeeks_mean_per100k,nb_cases_awd_twoWeeks_mean_per100k,nb_death_awd_twoWeeks_mean_per100k,nb_cases_meningitis_twoWeeks_mean_per100k,nb_cases_malaria_twoWeeks_mean_per100k,nb_cases_dengues_twoWeeks_mean_per100k
bam,11,0,0,0,0,52,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,52.5,0.5,0,0,0,0,11.195941901673793,0,0,0,0,0,11.303595189189886,0.10765328751609417
bam,12,0,0,0,0,51,2,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,51.5,1,0,0,0,0,10.980635326641606,0.43061315006437667,0,0,0,0,11.0882886141577,0.21530657503218834
bam,13,0,0,0,0,40,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,45.5,1,0,0,0,0,8.612263001287534,0,0,0,0,0,9.796449163964569,0.21530657503218834
bam,14,0,0,0,0,45,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,42.5,0,0,0,0,0,9.688795876448475,0,0,0,0,0,9.150529438868004,0
bam,15,0,0,0,1,37,1,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0.5,41,0.5,0,0,0,0.21530657503218834,7.966343276190968,0.21530657503218834,0,0,0,0.10765328751609417,8.827569576319723,0.10765328751609417
bam,16,0,0,0,0,36,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0.5,36.5,0.5,0,0,0,0,7.75103670115878,0,0,0,0,0.10765328751609417,7.8586899886748744,0.10765328751609417
bam,17,0,0,0,0,26,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,31,0,0,0,0,0,5.5979709508368964,0,0,0,0,0,6.674503825997838,0
bam,18,0,0,0,0,51,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,38.5,0,0,0,0,0,10.980635326641606,0,0,0,0,0,8.28930313873925,0
bam,19,0,0,0,0,45,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,48,0,0,0,0,0,9.688795876448475,0,0,0,0,0,10.334715601545039,0
bam,20,0,0,0,0,46,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,45.5,0,0,0,0,0,9.904102451480664,0,0,0,0,0,9.796449163964569,0
bam,21,0,0,0,0,30,1,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,38,0.5,0,0,0,0,6.45919725096565,0.21530657503218834,0,0,0,0,8.181649851223156,0.10765328751609417
