admin2,year,month,nb_events
boulkiemde,1999,6,0
boulkiemde,1999,7,0
boulkiemde,1999,8,0
boulkiemde,1999,11,0
boulkiemde,1999,12,2
boulkiemde,2000,1,0
boulkiemde,2000,4,1
boulkiemde,2000,5,0
boulkiemde,2000,10,0
boulkiemde,2000,11,0
boulkiemde,2000,12,1
boulkiemde,2001,6,0
boulkiemde,2001,7,0
boulkiemde,2001,12,0
boulkiemde,2002,2,0
boulkiemde,2002,9,0
boulkiemde,2003,10,0
boulkiemde,2004,2,0
boulkiemde,2004,6,0
boulkiemde,2005,2,0
boulkiemde,2005,10,0
boulkiemde,2005,12,0
boulkiemde,2006,5,0
boulkiemde,2006,6,0
boulkiemde,2006,7,0
boulkiemde,2006,12,0
boulkiemde,2007,10,0
boulkiemde,2008,2,0
boulkiemde,2008,3,0
boulkiemde,2008,5,0
boulkiemde,2008,6,0
boulkiemde,2009,1,0
boulkiemde,2010,2,0
boulkiemde,2010,3,0
boulkiemde,2010,4,0
boulkiemde,2010,7,0
boulkiemde,2011,1,0
boulkiemde,2011,2,4
boulkiemde,2011,3,3
boulkiemde,2011,4,2
boulkiemde,2011,5,2
boulkiemde,2011,6,0
boulkiemde,2011,7,0
boulkiemde,2011,9,0
boulkiemde,2011,12,0
boulkiemde,2012,1,0
boulkiemde,2012,2,1
boulkiemde,2012,3,1
boulkiemde,2012,4,0
boulkiemde,2012,5,1
boulkiemde,2012,6,0
boulkiemde,2012,7,0
boulkiemde,2012,8,0
boulkiemde,2012,9,0
boulkiemde,2012,10,3
boulkiemde,2012,11,2
boulkiemde,2012,12,0
boulkiemde,2013,1,0
boulkiemde,2013,2,0
boulkiemde,2013,3,0
boulkiemde,2013,5,0
boulkiemde,2013,6,0
boulkiemde,2013,7,0
boulkiemde,2013,8,1
boulkiemde,2013,9,1
boulkiemde,2013,10,0
boulkiemde,2013,11,0
boulkiemde,2013,12,0
boulkiemde,2014,1,0
boulkiemde,2014,2,0
boulkiemde,2014,3,0
boulkiemde,2014,4,0
boulkiemde,2014,5,0
boulkiemde,2014,6,0
boulkiemde,2014,7,0
boulkiemde,2014,8,0
boulkiemde,2014,9,0
boulkiemde,2014,10,1
boulkiemde,2014,11,0
boulkiemde,2014,12,0
boulkiemde,2015,1,0
boulkiemde,2015,2,1
boulkiemde,2015,3,0
boulkiemde,2015,4,1
boulkiemde,2015,5,0
boulkiemde,2015,6,0
boulkiemde,2015,7,0
boulkiemde,2015,8,0
boulkiemde,2015,9,0
boulkiemde,2015,10,0
boulkiemde,2015,11,0
boulkiemde,2015,12,0
boulkiemde,2016,1,1
boulkiemde,2016,2,0
boulkiemde,2016,3,1
boulkiemde,2016,4,0
boulkiemde,2016,5,0
boulkiemde,2016,6,0
boulkiemde,2016,7,0
boulkiemde,2016,8,0
